gpt-4.1-mini-id,buyer or seller,utterances,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
0,buyer,"Your false review is unfair and damaging; please remove it to protect my reputation, and I'll not remove my negative review. I won’t apologize or remove my review since it warns others, but I’ll agree to remove my review if you remove yours. I will keep my review but agree to remove yours if you apologize for your false claims against me. I can’t remove my review, but I’ll accept your apology and a partial refund if you remove your false review about me. I accept your apology and removal of your review if you also provide a partial refund; then I’ll keep my review.",1,105,1,8.09,99,33.54,21,12.38,87.62,64.76,58.1,30.48,27.62,16.19,0,11.43,0,0,2.86,14.29,1.9,0,7.62,7.62,1.9,14.29,2.86,10.48,1.9,0,3.81,0,0,3.81,31.43,0,23.81,8.57,0.95,0.95,4.76,0,11.43,0,6.67,3.81,2.86,0,0,0,0,0,0,0,21.9,10.48,4.76,4.76,0,0.95,0.95,11.43,0,0,0,0,0,0,0,0,10.48,0,0,8.57,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,1.9,0,1.9,0.95,0.95,0,0,0,0,0,1.9,0,3.81,5.71,1.9,0,1.9,0,0,15.24,4.76,2.86,0,0,5.71,1.9,0
0,seller,"I won’t remove my review without your apology and removal of your negative review; this is non-negotiable given the damage done. I’ll keep my review given your refusal to apologize, but I offer a partial refund if you remove your review. I will apologize only if you remove your review and accept no refund; fair trade for restoring trust. I must keep my review without your removal of negativity, but I’ll apologize and offer no refund as a good faith gesture. I cannot remove my review without your apology and review removal; I’m willing to apologize but no refund and keep both reviews.",1,103,5.33,7.77,95,66.14,20.6,20.39,88.35,61.17,53.4,21.36,20.39,11.65,0,8.74,0,0,0.97,18.45,2.91,0,8.74,8.74,3.88,10.68,4.85,13.59,3.88,0.97,7.77,0.97,0,6.8,30.1,2.91,18.45,8.74,0,1.94,1.94,0,8.74,0,8.74,5.83,2.91,0.97,0.97,0,0,0,0,0,18.45,9.71,5.83,5.83,0.97,0,0,8.74,0,0,0,0,0,0,0,0,14.56,0,0,9.71,4.85,0.97,0,0,0,0,0,0,0,0,0,0.97,0,0.97,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,2.91,2.91,3.88,0,0,0,0,0,14.56,4.85,1.94,0,0,3.88,3.88,0
1,buyer,"Your false review is damaging my reputation; please remove it and apologize publicly. I understand your stance; I can consider removing my review if you remove yours and apologize publicly for the false claims. I can remove my review if you remove yours and apologize, but I also need at least a partial refund for this issue. I won’t accept no apology from you; I can remove my review if you apologize and offer a partial refund, but both conditions must be met. I accept your apology and partial refund offer only if you agree to remove your false review to protect my reputation. I won’t apologize falsely; instead, remove your negative review so I can take down mine along with a partial refund. I want the apology to clear my name; I’m willing to keep my review if you apologize and offer a partial refund. Then I’ll keep my review and require your apology plus the partial refund; no deal without both. I’ll remove my review only if you apologize and provide the partial refund; please reconsider. I reject; I won’t apologize falsely, but I will remove my review if you apologize, remove yours, and provide a partial refund.",1,200,7.56,17.64,81.21,42.46,20,20.5,85.5,60,54,23,22,13.5,0,8.5,0,0,1,15.5,4.5,0,6.5,6.5,3,11.5,2.5,10.5,3,2,7,0,0,7,24,1,18,6.5,0,4,3.5,1,6,0,3.5,2.5,1,0,0,0,0,0,0,0,21,12,7.5,7.5,0.5,0,0,9,0,0,0,0,0,0,0,0,9.5,0,0,5.5,4,0,0,0,0,0,0,0,0,0,0,1,0.5,1.5,0,0,0,0,0.5,0,3.5,0.5,0,0,0.5,0,0,0,0.5,0.5,4,3,0.5,0,0.5,0,0,15,5,3,0,0,3,4,0
1,seller,"I won’t remove my review or apologize publicly unless you take down your false review of me. I'll keep my review but will apologize if you remove your false one and accept no refund. I’ll give a partial refund if you remove your review and I’m allowed to keep mine without apologizing. I can remove my review if you apologize publicly for the false accusations and remove your review too. I’ll give a partial refund if you remove your review, but I cannot remove mine or apologize falsely. I won’t apologize without you removing your review, but I’ll offer a partial refund if you do. I won’t apologize without your review removal, but I’ll give a partial refund only if you remove your review.",1,124,1,13.53,99,44.38,17.71,16.94,86.29,62.9,58.06,26.61,26.61,13.71,0,12.9,0,0,0,14.52,4.03,0.81,5.65,10.48,4.03,12.9,4.03,15.32,0.81,0.81,6.45,0,0,6.45,37.1,0.81,25.81,8.06,0.81,1.61,6.45,0,13.71,0,3.23,2.42,0.81,0,0,0,0,0,0,0,23.39,10.48,5.65,5.65,0.81,0.81,0,12.9,0,0,0,0,0,0,0,0,12.1,0,0,8.06,4.03,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,5.65,0.81,0,0,0.81,0,0,0,0,0,4.84,7.26,0,0,0,0,0,15.32,5.65,2.42,0,0,7.26,0,0
2,buyer,"You must remove your false review about me to protect my reputation, and then I’ll consider taking down my negative review. I’ll apologize publicly if you first remove your defamatory review against me. I cannot remove my warning review, but I’ll apologize for the harsh words if you remove your false review and apologize too. I’ll accept a partial refund and apologize if you remove your false review and apologize as well. I won’t remove my review without your apology and removal of your false review, but I agree to accept no refund if you do both. I refuse to remove my negative review, but I am willing to accept a partial refund if you remove your false review and apologize. I won’t remove my review without your apology and removal of your false review; if you do that, I’ll apologize and accept no refund. I won’t remove my review without your apology and removal of your false review, but I’ll accept a partial refund if you do that first. I cannot remove my review without your apology and removal of your false review; if you do that, I’ll apologize and accept no refund. I won’t remove my review without your apology and removal of your false review; if you do that, I’ll apologize and accept no refund. I won’t remove my review without your apology and removal of your false review, but will accept a partial refund if you do that first. I cannot remove my review without your apology and removal of your false review; if you do that, I’ll apologize and accept no refund. I won’t remove my review without your apology and removal of your false review; if you do that, I’ll apologize and accept no refund.",1,291,1,19.15,98.54,52.04,22.38,16.84,90.03,62.54,60.14,26.46,24.05,12.37,0,11.68,0,0,2.41,18.9,1.72,1.03,8.59,10.31,3.78,12.71,5.15,11,2.41,1.37,7.22,0,0,7.22,31.27,2.06,23.02,8.59,0,1.37,4.12,0,9.97,0,5.5,3.78,1.72,0,0,0,0,0,0,0,19.93,8.25,6.53,6.53,0.34,0,0.69,11.68,0,0,0,0,0,0,0,0,11.68,0,0,8.25,3.44,0,0,0,0,0,0,0,0,0,0,0.34,0,3.78,0,0,0,0,0.69,0,2.06,0.69,0.34,0,0.34,0,0,0,0.34,0,1.37,5.84,0.34,0,0.34,0,0,15.46,4.47,3.78,0,0,5.5,1.72,0
2,seller,"I will not remove my review without a sincere apology from you, then we can talk about removing your review. I won’t remove my review first, but if you apologize and remove your review, I’ll remove mine as well. Since you won’t remove your review, I can offer a partial refund if you apologize and I keep my review up. I can’t apologize or remove my review, but I’m willing to do partial refund if you remove your review instead. I cannot apologize or remove my review, but I will keep my review and give you a partial refund if you remove your negative review instead. I cannot apologize or remove my review; if you remove your review, I will accept your apology and offer a partial refund. I cannot apologize or remove my review, but I’ll give a partial refund if you remove your negative review instead. I won’t apologize or remove my review first; if you remove your review and apologize, I’ll give a partial refund. I won’t apologize or remove my review; if you remove your review and apologize, I’ll offer a partial refund. I cannot apologize or remove my review, but I’ll give you a partial refund if you remove your review instead. I won’t apologize or remove my review first; if you remove your review and apologize, I’ll give a partial refund. I cannot apologize or remove my review, but I will offer a partial refund if you remove your review and apologize. I cannot accept keeping your negative review without refund; if you remove your review and accept a partial refund, I’ll apologize and remove mine.",1,272,1,2.82,99,48.2,20.92,15.44,86.4,62.87,57.72,26.47,26.47,14.71,0.37,11.4,0,0,0,15.44,4.04,1.1,2.94,9.93,2.94,14.71,4.78,13.24,2.94,1.1,6.99,0.37,0,6.62,34.19,0,26.1,9.93,0.37,3.31,7.72,0,15.07,0,4.04,2.94,1.1,0,0,0,0,0,0,0,22.43,10.66,6.99,6.62,0,0.37,0.37,11.76,0,0,0,0,0,0,0,0,14.34,0,0,9.93,4.41,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,2.94,0.37,0,0,0.37,0,0,0,0.74,0,5.51,5.88,0,0,0,0,0,16.91,4.78,5.15,0,0,5.15,1.84,0
3,buyer,"What I really need is for you to apologize publicly for the false review and remove it to protect my reputation. I won’t remove my review since others should be warned, but I’m willing to not demand a refund if you remove your false review and apologize. I won’t remove my review to protect future buyers, but I accept a partial refund if you remove your false review and apologize. Your apology is important, but I can’t remove my review; instead, please remove your false review and apologize, and I’ll accept no refund. I won't remove my review, but I'll accept your public apology if you remove your false review. Let's both keep our reviews. I won’t remove my review, but if you remove your false review and apologize, I’ll accept a partial refund. I won’t remove my review, but I’ll accept a partial refund if you apologize and remove your false review. Since apology is my top priority, I’ll keep my review and drop the refund demand if you remove your false review and apologize. I see we’re at an impasse; I’ll keep my review, but I offer a partial refund if you apologize and remove your false review.",1,200,1.62,14,99,81.12,20,12.5,88.5,59,54,25.5,24,13.5,1.5,9,0,0,1.5,15.5,4,0,4.5,10,1,13,4,13,2,0.5,8,1.5,0,6.5,34.5,0.5,25,9,1,1.5,3.5,0.5,9,0,5,4.5,0.5,0,0,0,0,0,0,0,17.5,7,6,6,0,0,0.5,10.5,0,0,0,0,0,0,0,0,13,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,1.5,0,3.5,2,0.5,0.5,0.5,0.5,0,0,1.5,0.5,3.5,6,0,0,0,0,0,19,5,5.5,0,0,7.5,1,0
3,seller,"I understand your concern, but I can't remove my review or apologize publicly without something in return like you removing your false review. I can't remove my review or apologize publicly without you removing your false review too, but I am willing to discuss a partial refund if you agree to remove your review. I’m not giving a partial refund, but I will apologize publicly if you remove your review and I remove mine. I won't remove my review without you removing yours, but I’m willing to apologize publicly if you agree to remove your review too. I won't remove my review without you removing yours, but I’m willing to offer a partial refund if you take down your negative review. I won't remove my review without you removing yours, but I’ll remove mine and apologize if you remove your review and accept no refund. I won’t apologize or remove my review unless you remove yours, but I’ll offer a partial refund if you agree to remove your review. I can apologize and remove my review only if you remove yours and drop your refund demand. I’ll apologize and remove my review if you remove your review too and accept no refund.",1,202,1,31.74,99,26.73,22.44,16.83,84.16,63.37,58.42,28.71,28.22,13.37,0,14.85,0,0,0.5,12.38,1.98,0,6.93,7.43,4.46,12.87,4.46,8.91,2.48,0,4.46,0,0,4.46,31.19,0.99,24.26,8.91,0,1.49,5.94,0,13.37,0,1.49,0.99,0.5,0,0,0,0,0,0,0,21.78,6.93,3.96,3.96,0,0,0.5,14.85,0,0,0,0,0,0,0,0,11.88,0,0,8.42,3.47,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,1.98,1.98,0,0.99,1.49,0,0,0,0,0,3.47,3.96,1.49,0,1.49,0,0,13.86,4.46,3.47,0,0,5.94,0,0
4,buyer,"Please remove your false review about me to protect my reputation, and in return, I can consider taking down my negative review of your product. I won't apologize or remove my review since it warns others, but I’m willing to accept your removal of the bad review about me. I can't apologize or remove my review, but if you remove your negative review and apologize, I’m open to discussing a partial refund for the wrong jersey. If you remove your review and apologize, then I’ll remove my review and apologize as well to reach a fair resolution. I appreciate your offer to remove your review and apologize; I can agree to remove my review but cannot apologize or accept no refund, so can you offer a partial refund instead? I agree to remove my review and have yours removed with a partial refund, but I want you to apologize in the review update for it to be fair.",1,158,18.3,8.15,99,28.7,26.33,15.19,89.87,66.46,56.96,21.52,19.62,12.03,0,7.59,0,0,1.9,13.92,4.43,0,13.29,6.96,3.16,12.03,2.53,10.76,5.06,0,5.06,0,0,5.06,24.68,0.63,20.89,8.86,0.63,3.8,3.16,0,8.23,0,6.96,3.8,3.16,1.27,0.63,0.63,0,0,0,0,18.99,11.39,6.96,5.7,0,0.63,1.27,7.59,0,0,0,0,0.63,0.63,0,0,10.76,0,0,8.23,2.53,0,0,0,0,0,0,0,0,0,0,0,0.63,1.9,0,0,0,0,1.27,0,1.9,4.43,0.63,1.27,3.8,0,0,0,1.9,0,5.06,1.27,1.27,0,1.27,0,0,12.66,3.16,5.06,0.63,0,3.16,0.63,0
4,seller,"I cannot remove my review without you removing yours and apologizing for the false accusations you made. I’ll keep my negative review to protect other sellers; if you apologize and remove your negative review of me, I am willing to remove mine. I won’t apologize or remove my review without your apology and removing your review; I can offer no refund without this.",1,63,3.06,7.41,99,1.48,21,23.81,90.48,66.67,58.73,28.57,26.98,15.87,0,11.11,0,0,1.59,15.87,1.59,0,11.11,7.94,4.76,7.94,4.76,11.11,6.35,0,6.35,0,0,6.35,30.16,1.59,23.81,7.94,1.59,3.17,3.17,0,11.11,0,6.35,1.59,4.76,0,0,0,0,0,0,0,22.22,9.52,6.35,6.35,1.59,1.59,0,12.7,0,0,0,0,0,0,0,0,11.11,0,0,7.94,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,3.17,0,0,0,0,0,0,0,0,1.59,4.76,3.17,0,0,0,0,0,12.7,4.76,1.59,0,0,3.17,3.17,0
